run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	sra_file_role	bam_file_role
ERR181171	PRJEB3291	ERP001826	SAMEA1695345	ERS182609	ERX157281	ERA168476	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	LoVo_GMEB2		SINGLE	ChIP-Seq	GENOMIC	ChIP	5553752	183273816	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-18-10-2012-10:53:18:511-1	ena-RUN-KI-BN-18-10-2012-10:53:18:511-1	175717581	93372d714f9255fbaa0877f14627c7b0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181171/ERR181171.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR181/ERR181171/ERR181171.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181171/ERR181171.fastq.gz	159091622	9851ea76d3473c33001e9885eca165fd	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR181171/LoVo_GMEB2_Rabbit_0.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR181/ERR181171/LoVo_GMEB2_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR181171/LoVo_GMEB2_Rabbit_0.fastq.gz	FASTQ	100921887	f6c8ffd9d7ade4857411a63839fd3773	ftp.sra.ebi.ac.uk/vol1/err/ERR181/ERR181171	fasp.sra.ebi.ac.uk:/vol1/err/ERR181/ERR181171	ftp.sra.ebi.ac.uk/vol1/err/ERR181/ERR181171	LoVo_GMEB2_Rabbit1		LoVo_GMEB2_Rabbit		2012-10-18				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR181298	PRJEB3291	ERP001826	SAMEA1695342	ERS182608	ERX157408	ERA168486	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	LoVo_GMEB2_Rabbit		SINGLE	ChIP-Seq	GENOMIC	ChIP	5498479	181449807	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-18-10-2012-12:16:56:778-1	ena-RUN-KI-BN-18-10-2012-12:16:56:778-1	173427366	7ff40f8f0cc2bace4249293e9d1aa521	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181298/ERR181298.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR181/ERR181298/ERR181298.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181298/ERR181298.fastq.gz	156910249	d3021580f14a8ff285d3350a364107c9	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR181298/LoVo_GMEB2_Rabbit_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR181/ERR181298/LoVo_GMEB2_Rabbit_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR181298/LoVo_GMEB2_Rabbit_2.fastq.gz	FASTQ	111166977	c276ecbebbfa1c862ec7dfa181f1e82e	ftp.sra.ebi.ac.uk/vol1/err/ERR181/ERR181298	fasp.sra.ebi.ac.uk:/vol1/err/ERR181/ERR181298	ftp.sra.ebi.ac.uk/vol1/err/ERR181/ERR181298	LoVo_GMEB2_Rabbit3		LoVo_GMEB2_Rabbit		2012-10-18				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR183499	PRJEB3291	ERP001826	SAMEA1695346	ERS183064	ERX159246	ERA168847	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	LoVo_GRHL1		SINGLE	ChIP-Seq	GENOMIC	ChIP	11867892	391640436	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-24-10-2012-15:44:21:701-2	ena-RUN-KI-BN-24-10-2012-15:44:21:701-2	376486325	9c94ba6780340afa164ad059da8f8fc3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183499/ERR183499.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR183/ERR183499/ERR183499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183499/ERR183499.fastq.gz	339680824	81beb514fc6a4955f7e8ebe378354156	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183499/LoVo_GRHL1_Rabbit_1.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR183/ERR183499/LoVo_GRHL1_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183499/LoVo_GRHL1_Rabbit_1.fastq.gz	FASTQ	236700619	49f650f43c69dd18168036d465850ee1	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183499	fasp.sra.ebi.ac.uk:/vol1/err/ERR183/ERR183499	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183499	LoVo_GRHL1		LoVo_GRHL1		2012-10-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR183500	PRJEB3291	ERP001826	SAMEA1695347	ERS183065	ERX159247	ERA168848	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	LoVo_HNF1A		SINGLE	ChIP-Seq	GENOMIC	ChIP	11320157	373565181	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-24-10-2012-15:51:55:995-1	ena-RUN-KI-BN-24-10-2012-15:51:55:995-1	306455166	d3c129c1bce8dae637323646e7d0e2ea	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183500/ERR183500.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR183/ERR183500/ERR183500.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183500/ERR183500.fastq.gz	269046121	5ddaea31fe0584d7c0efda59934aa637	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183500/LoVo_HNF1A_Rabbit_0.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR183/ERR183500/LoVo_HNF1A_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183500/LoVo_HNF1A_Rabbit_0.fastq.gz	FASTQ	217182993	f1be4153b17a337ba4f9860f8059f07a	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183500	fasp.sra.ebi.ac.uk:/vol1/err/ERR183/ERR183500	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183500	LoVo_HNF1A		LoVo_HNF1A		2012-10-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR183502	PRJEB3291	ERP001826	SAMEA1695347	ERS183065	ERX159249	ERA168848	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	LoVo_HNF1A		SINGLE	ChIP-Seq	GENOMIC	ChIP	6503907	214628931	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-24-10-2012-15:51:55:996-3	ena-RUN-KI-BN-24-10-2012-15:51:55:996-3	184434666	7c8a867a3d0aa16bb38ce68f513479ee	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183502/ERR183502.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR183/ERR183502/ERR183502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183502/ERR183502.fastq.gz	164639933	c6caf500d1b1db33e031131554db2f4d	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183502/LoVo_HNF1A_Rabbit_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR183/ERR183502/LoVo_HNF1A_Rabbit_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183502/LoVo_HNF1A_Rabbit_2.fastq.gz	FASTQ	128960851	8132cc779696576b61e7a13708c3260c	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183502	fasp.sra.ebi.ac.uk:/vol1/err/ERR183/ERR183502	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183502	LoVo_HNF1A		LoVo_HNF1A		2012-10-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR183507	PRJEB3291	ERP001826	SAMEA1695344	ERS183067	ERX159254	ERA168850	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	LoVo_MAFG		SINGLE	ChIP-Seq	GENOMIC	ChIP	7616903	251357799	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-24-10-2012-16:35:12:603-3	ena-RUN-KI-BN-24-10-2012-16:35:12:604-3	236046399	92e7c7af20d5b1b78a2956dd8df9e2e2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183507/ERR183507.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR183/ERR183507/ERR183507.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183507/ERR183507.fastq.gz	213678298	021318b1247a6f232f0db5c1f119b768	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183507/LoVo_MAFG_Rabbit_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR183/ERR183507/LoVo_MAFG_Rabbit_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183507/LoVo_MAFG_Rabbit_2.fastq.gz	FASTQ	151688355	cf261ff8c7d97e1c4911e3bdbc5ac3e4	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183507	fasp.sra.ebi.ac.uk:/vol1/err/ERR183/ERR183507	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183507	LoVo_MAFG		LoVo_MAFG		2012-10-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR183509	PRJEB3291	ERP001826	SAMEA1695335	ERS183068	ERX159256	ERA168850	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	LoVo_MAFK		SINGLE	ChIP-Seq	GENOMIC	ChIP	8600117	283803861	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-24-10-2012-16:35:12:604-5	ena-RUN-KI-BN-24-10-2012-16:35:12:604-5	267623815	78f3482fce15dd45316f80485639d26c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183509/ERR183509.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR183/ERR183509/ERR183509.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183509/ERR183509.fastq.gz	242040350	56acd81e9be1a828c5be47fee1afaa4d	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183509/LoVo_MAFK_Rabbit_1.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR183/ERR183509/LoVo_MAFK_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183509/LoVo_MAFK_Rabbit_1.fastq.gz	FASTQ	172534898	28764ab7609c8c051b21838ead8408ec	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183509	fasp.sra.ebi.ac.uk:/vol1/err/ERR183/ERR183509	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183509	LoVo_MAFK		LoVo_MAFK		2012-10-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR183511	PRJEB3291	ERP001826	SAMEA1695338	ERS183069	ERX159258	ERA168850	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	LoVo_TP53		SINGLE	ChIP-Seq	GENOMIC	ChIP	6673120	220212960	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-24-10-2012-16:35:12:604-7	ena-RUN-KI-BN-24-10-2012-16:35:12:604-7	164281913	622bedd150322ce55a719f43d086c067	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183511/ERR183511.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR183/ERR183511/ERR183511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183511/ERR183511.fastq.gz	143734440	5fb79667b5cb3b0a5e52ebf2b932d361	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183511/LoVo_TP53_Rabbit_1.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR183/ERR183511/LoVo_TP53_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183511/LoVo_TP53_Rabbit_1.fastq.gz	FASTQ	125285077	9fbeab690799ae5e2491861b4265eb8e	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183511	fasp.sra.ebi.ac.uk:/vol1/err/ERR183/ERR183511	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183511	LoVo_TP53		LoVo_TP53		2012-10-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR184010	PRJEB3291	ERP001826	SAMEA1695341	ERS183156	ERX159396	ERA168871	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	IgG_control_GRHL1+MAFK		SINGLE	ChIP-Seq	GENOMIC	ChIP	9352489	308632137	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-25-10-2012-12:57:33:556-1	ena-RUN-KI-BN-25-10-2012-12:57:33:556-1	294473599	7667571afbd41c55006a8a764dd9498f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184010/ERR184010.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR184/ERR184010/ERR184010.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184010/ERR184010.fastq.gz	266212304	62a9b2a9632e63c04e3bdbb922841986	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184010/LoVo_IgG_Rabbit_0_3.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR184/ERR184010/LoVo_IgG_Rabbit_0_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184010/LoVo_IgG_Rabbit_0_3.fastq.gz	FASTQ	185876676	3b3b7e4f375c511f7fe0ab6ac8c82c7f	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184010	fasp.sra.ebi.ac.uk:/vol1/err/ERR184/ERR184010	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184010	IgG_control_GRHL1+MAFK		IgG_control_GRHL1+MAFK		2012-10-25				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR184011	PRJEB3291	ERP001826	SAMEA1695341	ERS183156	ERX159397	ERA168871	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	IgG_control_GRHL1+MAFK		SINGLE	ChIP-Seq	GENOMIC	ChIP	7739122	255391026	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_ChIP-seq_confirmation	ena-EXPERIMENT-KI-BN-25-10-2012-12:57:33:556-2	ena-RUN-KI-BN-25-10-2012-12:57:33:556-2	244137183	180f99b958ebc1d0c866e6c505831b2b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184011/ERR184011.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR184/ERR184011/ERR184011.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184011/ERR184011.fastq.gz	220679673	f55fa9ace5a8f662ba3818b18648b280	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184011/GRHL1_MAFK_ChIP2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR184/ERR184011/GRHL1_MAFK_ChIP2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184011/GRHL1_MAFK_ChIP2.fastq.gz	FASTQ	154008996	b166b3464492c1f079a2b4fbf557f4b6	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184011	fasp.sra.ebi.ac.uk:/vol1/err/ERR184/ERR184011	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184011	IgG_control_GRHL1+MAFK		IgG_control_GRHL1+MAFK		2012-10-25				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
