run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	sra_file_role	bam_file_role
ERR1359225	PRJEB7934	ERP008935	SAMEA3930542	ERS1117676	ERX1430696	ERA606176	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	HOXB13_ChIP-Exo		SINGLE	OTHER	GENOMIC	ChIP	24912265	772280215	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2016-04-15	2018-11-16	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-15-04-2016-11:22:13:381-1	ena-RUN-KI-BN-15-04-2016-11:22:13:382-1	817917202	7e019d621b5460c7ccd9f2c1ad77a15f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR135/005/ERR1359225/ERR1359225.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR135/005/ERR1359225/ERR1359225.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR135/005/ERR1359225/ERR1359225.fastq.gz	729303839	cc9f9b80da4385628edc0437fc93249e	ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR1359225/LoVo_HOXB13_sorted.bam.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR135/ERR1359225/LoVo_HOXB13_sorted.bam.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR1359225/LoVo_HOXB13_sorted.bam.fastq.gz	FASTQ	522474116	429a49fe7bf18077afeff2c7d479875b	ftp.sra.ebi.ac.uk/vol1/err/ERR135/005/ERR1359225	fasp.sra.ebi.ac.uk:/vol1/err/ERR135/005/ERR1359225	ftp.sra.ebi.ac.uk/vol1/err/ERR135/005/ERR1359225	HOXB13_LoVo_ChIP_exo		HOXB13 LoVo ChIP exo		2016-04-15				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929466	PRJEB7934	ERP008935	SAMEA3468951	ERS764516	ERX1008737	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	350277	14011080	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:018-1	ena-RUN-KI-BN-24-06-2015-21:12:43:018-1	12480073	d3db3fdc5f5a953e815992a8040bc0a6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929466/ERR929466.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929466/ERR929466.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929466/ERR929466.fastq.gz	11541182	6384034a19bfc90fe91e01b6323ec28f	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929466/ALX4_ALX4_1_AAD_TCTCCT40NCCT.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929466/ALX4_ALX4_1_AAD_TCTCCT40NCCT.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929466/ALX4_ALX4_1_AAD_TCTCCT40NCCT.fastq.gz	FASTQ	7967393	e1e6d5c5d8e97da3162e0e9e595c2df6	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929466	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929466	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929466	ALX4_ALX4_1_AAD_TCTCCT40NCCT		CAP-SELEX sample ALX4_ALX4		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929471	PRJEB7934	ERP008935	SAMEA3468956	ERS764521	ERX1008742	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	161494	6459760	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:018-6	ena-RUN-KI-BN-24-06-2015-21:12:43:018-6	7165965	b124651ceac77350532bca5a372e9b76	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929471/ERR929471.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929471/ERR929471.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929471/ERR929471.fastq.gz	6702131	c9bce27c7c8eacb293587193b47c3eaa	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929471/ALX4_ATF4_3_AAD_TGAGCT40NGCA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929471/ALX4_ATF4_3_AAD_TGAGCT40NGCA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929471/ALX4_ATF4_3_AAD_TGAGCT40NGCA.fastq.gz	FASTQ	4710441	afb5a7751e10061008631aebd63e3d6e	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929471	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929471	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929471	ALX4_ATF4_3_AAD_TGAGCT40NGCA		CAP-SELEX sample ALX4_ATF4		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929472	PRJEB7934	ERP008935	SAMEA3468957	ERS764522	ERX1008743	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	101139	4045560	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:019-7	ena-RUN-KI-BN-24-06-2015-21:12:43:019-7	4783070	94bbbfead95255d8e6cb75c6693f9cf7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929472/ERR929472.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929472/ERR929472.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929472/ERR929472.fastq.gz	4492932	259f92184619eb1009dcd6af5a40f808	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929472/ALX4_BACH1_3_AAD_TCGCGT40NCGG.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929472/ALX4_BACH1_3_AAD_TCGCGT40NCGG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929472/ALX4_BACH1_3_AAD_TCGCGT40NCGG.fastq.gz	FASTQ	3187246	6802ea85e25b6974f9f7c501ab17518b	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929472	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929472	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929472	ALX4_BACH1_3_AAD_TCGCGT40NCGG		CAP-SELEX sample ALX4_BACH1		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929473	PRJEB7934	ERP008935	SAMEA3468958	ERS764523	ERX1008744	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	112716	4508640	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:019-8	ena-RUN-KI-BN-24-06-2015-21:12:43:019-8	5118419	dc8ac25f0e218aec14b2caba1a603ff9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929473/ERR929473.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929473/ERR929473.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929473/ERR929473.fastq.gz	4792867	f6bda0dcb471ccca64dac5ce30f1a7c0	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929473/ALX4_BACH1_3_AAD_TGTGGG40NAAC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929473/ALX4_BACH1_3_AAD_TGTGGG40NAAC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929473/ALX4_BACH1_3_AAD_TGTGGG40NAAC.fastq.gz	FASTQ	3389666	44ade3115dbbf57a816a1d0bb7d48590	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929473	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929473	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929473	ALX4_BACH1_3_AAD_TGTGGG40NAAC		CAP-SELEX sample ALX4_BACH1		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929474	PRJEB7934	ERP008935	SAMEA3468959	ERS764524	ERX1008745	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	127939	5117560	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:019-9	ena-RUN-KI-BN-24-06-2015-21:12:43:019-9	5494066	c9bc0d236a1a8bd8be22d9d23ef99295	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929474/ERR929474.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929474/ERR929474.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929474/ERR929474.fastq.gz	5126169	bcd8fe9775988f7be140729f2cdeaed3	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929474/ALX4_BHLHA15_3_AAD_TTAGGT40NTAA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929474/ALX4_BHLHA15_3_AAD_TTAGGT40NTAA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929474/ALX4_BHLHA15_3_AAD_TTAGGT40NTAA.fastq.gz	FASTQ	3731724	48c1b3434cb2f1e7722ccd5c70444141	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929474	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929474	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929474	ALX4_BHLHA15_3_AAD_TTAGGT40NTAA		CAP-SELEX sample ALX4_BHLHA15		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929476	PRJEB7934	ERP008935	SAMEA3468961	ERS764526	ERX1008747	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	500187	20007480	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:019-11	ena-RUN-KI-BN-24-06-2015-21:12:43:019-11	17864604	f743891247cef0a7562d12e3fad425c4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929476/ERR929476.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929476/ERR929476.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929476/ERR929476.fastq.gz	16515786	8c141224b5086785b6ef469afb5bf70e	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929476/ALX4_CEBPB_1_AAD_TTAGAT40NGTG.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929476/ALX4_CEBPB_1_AAD_TTAGAT40NGTG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929476/ALX4_CEBPB_1_AAD_TTAGAT40NGTG.fastq.gz	FASTQ	11358700	3c2b7bd16f2796c4f8044a3810249f93	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929476	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929476	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929476	ALX4_CEBPB_1_AAD_TTAGAT40NGTG		CAP-SELEX sample ALX4_CEBPB		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929479	PRJEB7934	ERP008935	SAMEA3468964	ERS764529	ERX1008750	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	477468	19098720	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:020-14	ena-RUN-KI-BN-24-06-2015-21:12:43:020-14	17683372	cd29eeaddf784316340b1171232d9768	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929479/ERR929479.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929479/ERR929479.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929479/ERR929479.fastq.gz	16395049	acbb1204ce7387545d46c7c1c00879eb	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929479/ALX4_CEBPB_2_AAD_TTCGGG40NGAG.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929479/ALX4_CEBPB_2_AAD_TTCGGG40NGAG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929479/ALX4_CEBPB_2_AAD_TTCGGG40NGAG.fastq.gz	FASTQ	11254229	0f5f5746ba6b6af6b1c638ab5201ba8f	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929479	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929479	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929479	ALX4_CEBPB_2_AAD_TTCGGG40NGAG		CAP-SELEX sample ALX4_CEBPB		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929482	PRJEB7934	ERP008935	SAMEA3468967	ERS764532	ERX1008753	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	119668	4786720	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:020-17	ena-RUN-KI-BN-24-06-2015-21:12:43:020-17	5311038	771ac40c8e37c168a8e44d4edc6dfa09	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929482/ERR929482.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929482/ERR929482.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929482/ERR929482.fastq.gz	4968844	36fa515a72a8737f1fa413daf39dd1bc	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929482/ALX4_CEBPD_3_AAD_TTAGGC40NATA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929482/ALX4_CEBPD_3_AAD_TTAGGC40NATA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929482/ALX4_CEBPD_3_AAD_TTAGGC40NATA.fastq.gz	FASTQ	3507800	a1470e9d0621ebceffacf56156c8cbe5	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929482	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929482	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929482	ALX4_CEBPD_3_AAD_TTAGGC40NATA		CAP-SELEX sample ALX4_CEBPD		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR929487	PRJEB7934	ERP008935	SAMEA3468972	ERS764537	ERX1008758	ERA452106	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	9373	374920	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-06-29	2019-06-12	Illumina HiSeq 2000 sequencing	Analysis of heterodimeric transcription factor complex specificities	ena-STUDY-KI-BN-05-12-2014-15:53:23:707-10	ena-EXPERIMENT-KI-BN-24-06-2015-21:12:43:021-22	ena-RUN-KI-BN-24-06-2015-21:12:43:021-22	409924	50cd40c1872de2edd1e90c71a4eb9dec	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929487/ERR929487.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR929/ERR929487/ERR929487.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR929/ERR929487/ERR929487.fastq.gz	381951	23f196c6acac72887187e34912c60109	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929487/ALX4_CREB3L1_3_AAD_TGCTTG40NTGC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR929/ERR929487/ALX4_CREB3L1_3_AAD_TGCTTG40NTGC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR929/ERR929487/ALX4_CREB3L1_3_AAD_TGCTTG40NTGC.fastq.gz	FASTQ	318559	b446494613a39690ff1cf7198c69c804	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929487	fasp.sra.ebi.ac.uk:/vol1/err/ERR929/ERR929487	ftp.sra.ebi.ac.uk/vol1/err/ERR929/ERR929487	ALX4_CREB3L1_3_AAD_TGCTTG40NTGC		CAP-SELEX sample ALX4_CREB3L1		2015-06-24				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
