run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	sra_file_role	bam_file_role
ERR649339	PRJEB7373	ERP007094	SAMEA2805187	ERS562077	ERX605693	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	BtbVII		SINGLE	OTHER	SYNTHETIC	other	9213	184260	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:572-7	ena-RUN-KI-BN-06-10-2014-19:03:14:572-7	255325	d2a429c1ca91a4a080de7406a3f5cba9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649339/ERR649339.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649339/ERR649339.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649339/ERR649339.fastq.gz	228777	90169f112d79eb0814bc31ff80ae15d4	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649339/KA_TAAAGC20NGAA_7.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649339/KA_TAAAGC20NGAA_7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649339/KA_TAAAGC20NGAA_7.fastq.gz	FASTQ	179423	d04d280404818da53d1465d1237c56ff	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649339	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649339	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649339	KA_TAAAGC20NGAA_7		BtbVII		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649341	PRJEB7373	ERP007094	SAMEA2805189	ERS562079	ERX605695	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	rib		SINGLE	OTHER	SYNTHETIC	other	31158	623160	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:572-9	ena-RUN-KI-BN-06-10-2014-19:03:14:572-9	803675	cc67c406d32c7fde27038e2be32b3e10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649341/ERR649341.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649341/ERR649341.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649341/ERR649341.fastq.gz	718602	f49a0955ce55851b70c854a890f4737c	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649341/KA_TACCCG20NCG_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649341/KA_TACCCG20NCG_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649341/KA_TACCCG20NCG_2.fastq.gz	FASTQ	484735	b77d98c1d2d105ca2a395074935c0fb5	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649341	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649341	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649341	KA_TACCCG20NCG_2		rib		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649342	PRJEB7373	ERP007094	SAMEA2805190	ERS562080	ERX605696	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	rib		SINGLE	OTHER	SYNTHETIC	other	44	880	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:572-10	ena-RUN-KI-BN-06-10-2014-19:03:14:572-10	1381	48bd91521002db3e10e694808b02cec9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649342/ERR649342.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649342/ERR649342.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649342/ERR649342.fastq.gz	1280	067c8810d539f0b74ed459d75a3240aa	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649342/KA_TACCCG20NCG_3.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649342/KA_TACCCG20NCG_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649342/KA_TACCCG20NCG_3.fastq.gz	FASTQ	33292	910cbb22f1acf6c99f54c64e0d02a842	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649342	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649342	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649342	KA_TACCCG20NCG_3		rib		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649344	PRJEB7373	ERP007094	SAMEA2805192	ERS562082	ERX605698	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	rib		SINGLE	OTHER	SYNTHETIC	other	54056	1081120	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:572-12	ena-RUN-KI-BN-06-10-2014-19:03:14:572-12	1513836	35806b4fb67fc07af39212efbf94698e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649344/ERR649344.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649344/ERR649344.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649344/ERR649344.fastq.gz	1362706	bf5cb85f82b4e6dddfa104d07cc07e14	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649344/KA_TACCCG20NCG_5.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649344/KA_TACCCG20NCG_5.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649344/KA_TACCCG20NCG_5.fastq.gz	FASTQ	894917	4126e570151b73df187f8e66140254df	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649344	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649344	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649344	KA_TACCCG20NCG_5		rib		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649345	PRJEB7373	ERP007094	SAMEA2805193	ERS562083	ERX605699	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	rib		SINGLE	OTHER	SYNTHETIC	other	54166	1083320	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:572-13	ena-RUN-KI-BN-06-10-2014-19:03:14:572-13	1488579	159919d8422e08fe570237563eebf5bb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649345/ERR649345.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649345/ERR649345.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649345/ERR649345.fastq.gz	1337905	1d7402bdf80c7b5ce0866b3ee2b243f1	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649345/KA_TACCCG20NCG_6.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649345/KA_TACCCG20NCG_6.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649345/KA_TACCCG20NCG_6.fastq.gz	FASTQ	878870	606821f6f7e896093ee80ed21c8c56a9	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649345	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649345	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649345	KA_TACCCG20NCG_6		rib		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649350	PRJEB7373	ERP007094	SAMEA2805198	ERS562088	ERX605704	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	CG12219		SINGLE	OTHER	SYNTHETIC	other	148493	2969860	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:572-18	ena-RUN-KI-BN-06-10-2014-19:03:14:572-18	3964501	400e1987938cf118101e8aad20d13ae2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649350/ERR649350.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649350/ERR649350.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649350/ERR649350.fastq.gz	3540356	2f1e7932a48d45652346f984ac13c7b8	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649350/KA_TACCGT20NCG_4.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649350/KA_TACCGT20NCG_4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649350/KA_TACCGT20NCG_4.fastq.gz	FASTQ	2285957	1ddd05d9d14f8d7361b3ae2e556a8721	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649350	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649350	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649350	KA_TACCGT20NCG_4		CG12219		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649351	PRJEB7373	ERP007094	SAMEA2805199	ERS562089	ERX605705	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	CG12219		SINGLE	OTHER	SYNTHETIC	other	250676	5013520	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:572-19	ena-RUN-KI-BN-06-10-2014-19:03:14:572-19	6874256	951c459c7a14dd0f402483045302d3d4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649351/ERR649351.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649351/ERR649351.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649351/ERR649351.fastq.gz	6159810	2e99fa1a558739a11890d3da7902a9f2	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649351/KA_TACCGT20NCG_5.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649351/KA_TACCGT20NCG_5.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649351/KA_TACCGT20NCG_5.fastq.gz	FASTQ	3963868	7ffbd7a552929f061945b14a2672a5bd	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649351	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649351	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649351	KA_TACCGT20NCG_5		CG12219		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649355	PRJEB7373	ERP007094	SAMEA2805203	ERS562093	ERX605709	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	prd		SINGLE	OTHER	SYNTHETIC	other	256714	5134280	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:573-23	ena-RUN-KI-BN-06-10-2014-19:03:14:573-23	6410540	b50f05312035fd65d52a7f8e119a61a4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649355/ERR649355.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649355/ERR649355.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649355/ERR649355.fastq.gz	5706770	4fd34633dd0d802d0dd9722ba5a12212	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649355/KA_TACGGA20NCG_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649355/KA_TACGGA20NCG_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649355/KA_TACGGA20NCG_2.fastq.gz	FASTQ	3666350	f38060c68330e164b42e9e01a0a90794	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649355	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649355	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649355	KA_TACGGA20NCG_2		prd		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649357	PRJEB7373	ERP007094	SAMEA2805205	ERS562095	ERX605711	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	prd		SINGLE	OTHER	SYNTHETIC	other	171773	3435460	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:573-25	ena-RUN-KI-BN-06-10-2014-19:03:14:573-25	4590061	25febecc5c6b3a580705c322b50965e7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649357/ERR649357.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649357/ERR649357.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649357/ERR649357.fastq.gz	4095934	d48b5dfb3e3d0c6fa424665cda40d8cd	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649357/KA_TACGGA20NCG_4.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649357/KA_TACGGA20NCG_4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649357/KA_TACGGA20NCG_4.fastq.gz	FASTQ	2655216	949842d64410d54d4be2b6212b0ec215	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649357	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649357	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649357	KA_TACGGA20NCG_4		prd		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR649361	PRJEB7373	ERP007094	SAMEA2805209	ERS562099	ERX605715	ERA367240	7227	Drosophila melanogaster	ILLUMINA	Illumina HiSeq 2000	HGTX		SINGLE	OTHER	SYNTHETIC	other	651456	13029120	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-03-05	2018-11-16	Illumina HiSeq 2000 sequencing	Binding specificities of Drosophila melanogaster transcription factors	ena-STUDY-KI-BN-24-09-2014-19:12:48:645-517	ena-EXPERIMENT-KI-BN-06-10-2014-19:03:14:573-29	ena-RUN-KI-BN-06-10-2014-19:03:14:573-29	16466604	65859bc31192f0e49b155030e40bec08	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649361/ERR649361.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR649/ERR649361/ERR649361.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR649/ERR649361/ERR649361.fastq.gz	14646013	5a1b58a9c6ed4efd2c60c796b1e492ad	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649361/KA_TAGCGA20NGCT_1.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR649/ERR649361/KA_TAGCGA20NGCT_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR649/ERR649361/KA_TAGCGA20NGCT_1.fastq.gz	FASTQ	9316435	598da91176079ffe053d64d7e5a197bc	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649361	fasp.sra.ebi.ac.uk:/vol1/err/ERR649/ERR649361	ftp.sra.ebi.ac.uk/vol1/err/ERR649/ERR649361	KA_TAGCGA20NGCT_1		HGTX		2014-10-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
