run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	sra_file_role	bam_file_role
ERR13420859	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791313	ERA30717821	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	292238	11689520	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: BARHL1_TBX6_3_YAAII_TCTATT40NCAT	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-BARHL1_TBX6_3_YAAII_TCTATT40NCAT	webin-reads-BARHL1_TBX6_3_YAAII_TCTATT40NCAT	11987654	2f78dd6f543c79654b1831ae6c2fd6a4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/059/ERR13420859/ERR13420859.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/059/ERR13420859/ERR13420859.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/059/ERR13420859/ERR13420859.fastq.gz	11149881	b74d6612f7b78bc007ab4156b10d7ab0	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420859/BARHL1_TBX6_3_YAAII_TCTATT40NCAT.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420859/BARHL1_TBX6_3_YAAII_TCTATT40NCAT.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420859/BARHL1_TBX6_3_YAAII_TCTATT40NCAT.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/059/ERR13420859/ERR13420859.bam	11294284	1e0ed042fdeef2a6435f7ba631753c0d	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420861	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791315	ERA30717823	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	217436	8697440	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: BHLHB5_TBX6_3_YAAII_TCGCTA40NTCG	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-BHLHB5_TBX6_3_YAAII_TCGCTA40NTCG	webin-reads-BHLHB5_TBX6_3_YAAII_TCGCTA40NTCG	9037153	e0643450c82a8fdabee66c752ac69da1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/061/ERR13420861/ERR13420861.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/061/ERR13420861/ERR13420861.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/061/ERR13420861/ERR13420861.fastq.gz	8404911	be954de9653cae8915f0c49bcc4fb46b	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420861/BHLHB5_TBX6_3_YAAII_TCGCTA40NTCG.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420861/BHLHB5_TBX6_3_YAAII_TCGCTA40NTCG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420861/BHLHB5_TBX6_3_YAAII_TCGCTA40NTCG.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/061/ERR13420861/ERR13420861.bam	8508542	7da779b817de3f2ce53a430cc635c0c3	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420862	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791316	ERA30717824	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	263093	10523720	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: BHLHE22_TBX6_3_YAAII_TAACAG40NGGC	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-BHLHE22_TBX6_3_YAAII_TAACAG40NGGC	webin-reads-BHLHE22_TBX6_3_YAAII_TAACAG40NGGC	11157392	793d6ed45362beb0dda215a6bab4eeb5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/062/ERR13420862/ERR13420862.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/062/ERR13420862/ERR13420862.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/062/ERR13420862/ERR13420862.fastq.gz	10389148	a2778cb9e78c9aa18208751b34356529	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420862/BHLHE22_TBX6_3_YAAII_TAACAG40NGGC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420862/BHLHE22_TBX6_3_YAAII_TAACAG40NGGC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420862/BHLHE22_TBX6_3_YAAII_TAACAG40NGGC.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/062/ERR13420862/ERR13420862.bam	10508791	f16641efbca8b4bbefd4c0fbd2a1a63a	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420866	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791320	ERA30717828	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	226257	9050280	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: CLOCK_TBX6_3_YAAII_TCTGAA40NCAT	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-CLOCK_TBX6_3_YAAII_TCTGAA40NCAT	webin-reads-CLOCK_TBX6_3_YAAII_TCTGAA40NCAT	9441103	b1629004605d8db87dc5da3e23ddec0d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/066/ERR13420866/ERR13420866.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/066/ERR13420866/ERR13420866.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/066/ERR13420866/ERR13420866.fastq.gz	8784893	73ca342d5ba3698cc2050664d967ff5f	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420866/CLOCK_TBX6_3_YAAII_TCTGAA40NCAT.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420866/CLOCK_TBX6_3_YAAII_TCTGAA40NCAT.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420866/CLOCK_TBX6_3_YAAII_TCTGAA40NCAT.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/066/ERR13420866/ERR13420866.bam	8911146	ad0a3c53ae605329b82983ca83c026b6	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420871	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791325	ERA30717833	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	283881	11355240	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: DMBX1_TBX6_3_YAAII_TACATC40NATA	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-DMBX1_TBX6_3_YAAII_TACATC40NATA	webin-reads-DMBX1_TBX6_3_YAAII_TACATC40NATA	11767703	5165f5f3952b85ef05fec7ebbe49d402	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/071/ERR13420871/ERR13420871.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/071/ERR13420871/ERR13420871.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/071/ERR13420871/ERR13420871.fastq.gz	10944491	55920019ff78bfb1931b8cd2f1c7bb2c	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420871/DMBX1_TBX6_3_YAAII_TACATC40NATA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420871/DMBX1_TBX6_3_YAAII_TACATC40NATA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420871/DMBX1_TBX6_3_YAAII_TACATC40NATA.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/071/ERR13420871/ERR13420871.bam	11084689	a4ea2ad629424f9873bfe0c1853eb91b	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420876	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791330	ERA30717838	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	273150	10926000	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: ELF4_TBX6_3_YAAII_TCTAGA40NCGA	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-ELF4_TBX6_3_YAAII_TCTAGA40NCGA	webin-reads-ELF4_TBX6_3_YAAII_TCTAGA40NCGA	11262900	2d8d85d65933657bafb39b3f2237d139	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/076/ERR13420876/ERR13420876.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/076/ERR13420876/ERR13420876.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/076/ERR13420876/ERR13420876.fastq.gz	10474298	4de32816e5abe1a0906b8b0d88616543	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420876/ELF4_TBX6_3_YAAII_TCTAGA40NCGA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420876/ELF4_TBX6_3_YAAII_TCTAGA40NCGA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420876/ELF4_TBX6_3_YAAII_TCTAGA40NCGA.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/076/ERR13420876/ERR13420876.bam	10596739	00b2c7ca0d5e9721ec9197ca203191b5	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420877	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791331	ERA30717839	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	225713	9028520	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: ELK1_TBX6_3_YAAII_TACTCT40NAAC	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-ELK1_TBX6_3_YAAII_TACTCT40NAAC	webin-reads-ELK1_TBX6_3_YAAII_TACTCT40NAAC	9332897	dd20a3bad407c2c974c4eec6215c2f13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/077/ERR13420877/ERR13420877.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/077/ERR13420877/ERR13420877.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/077/ERR13420877/ERR13420877.fastq.gz	8682118	9753972ce1b14f128369732027388786	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420877/ELK1_TBX6_3_YAAII_TACTCT40NAAC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420877/ELK1_TBX6_3_YAAII_TACTCT40NAAC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420877/ELK1_TBX6_3_YAAII_TACTCT40NAAC.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/077/ERR13420877/ERR13420877.bam	8787492	7cee81876a36ea2853595694d39c7e4d	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420878	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791332	ERA30717840	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	272051	10882040	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: ELK3_TBX6_3_YAAII_TGGTAT40NTGA	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-ELK3_TBX6_3_YAAII_TGGTAT40NTGA	webin-reads-ELK3_TBX6_3_YAAII_TGGTAT40NTGA	11115072	0e7271d35196acf114eeb326c0cfe50a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/078/ERR13420878/ERR13420878.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/078/ERR13420878/ERR13420878.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/078/ERR13420878/ERR13420878.fastq.gz	10332213	1af44e992256175221b7eb7879c3905a	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420878/ELK3_TBX6_3_YAAII_TGGTAT40NTGA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420878/ELK3_TBX6_3_YAAII_TGGTAT40NTGA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420878/ELK3_TBX6_3_YAAII_TGGTAT40NTGA.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/078/ERR13420878/ERR13420878.bam	10471475	965841630137606eec027b1e4b3524b7	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420882	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791336	ERA30717844	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	242146	9685840	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: ETV2_TBX6_3_YAAII_TCCGAC40NAAC	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-ETV2_TBX6_3_YAAII_TCCGAC40NAAC	webin-reads-ETV2_TBX6_3_YAAII_TCCGAC40NAAC	10129098	26b43e9255f87f4c1e06695478ead65b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/082/ERR13420882/ERR13420882.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/082/ERR13420882/ERR13420882.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/082/ERR13420882/ERR13420882.fastq.gz	9426939	17f5de8ef7bafc8526cf55812e919129	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420882/ETV2_TBX6_3_YAAII_TCCGAC40NAAC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420882/ETV2_TBX6_3_YAAII_TCCGAC40NAAC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420882/ETV2_TBX6_3_YAAII_TCCGAC40NAAC.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/082/ERR13420882/ERR13420882.bam	9565028	0c80285740b31d969ff8af6fea94f00e	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
ERR13420884	PRJEB66722	ERP151780	SAMEA115875865	ERS20622464	ERX12791338	ERA30717846	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000			SINGLE	SELEX	SYNTHETIC	other	210204	8408160	School of medicine, Tongji University	2025-02-12	2025-02-12	Illumina HiSeq 2000 sequencing: Raw reads: ETV5_TBX6_3_YAAII_TTCGCC40NGAC	Defining the molecular basis of the gene regulatory code	527d2033-c36a-4ef9-918c-b475ed192335	webin-reads-ETV5_TBX6_3_YAAII_TTCGCC40NGAC	webin-reads-ETV5_TBX6_3_YAAII_TTCGCC40NGAC	8783395	f14c2096cb2449c95d58cb579e58ddc1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/084/ERR13420884/ERR13420884.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR134/084/ERR13420884/ERR13420884.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/084/ERR13420884/ERR13420884.fastq.gz	8171091	9daecab2cf439b3fb0b1986f862f3a61	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420884/ETV5_TBX6_3_YAAII_TTCGCC40NGAC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR134/ERR13420884/ETV5_TBX6_3_YAAII_TTCGCC40NGAC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR13420884/ETV5_TBX6_3_YAAII_TTCGCC40NGAC.fastq.gz	FASTQ						VSX2_TBX6_3_YAAII_TTTCGG40NAGA		CAP-SELEX sample VSX2_TBX6		2024-07-27	ftp.sra.ebi.ac.uk/vol1/err/ERR134/084/ERR13420884/ERR13420884.bam	8275816	848cb0a188936b4440607ba835c43699	GENERATED_FILE	SUBMISSION_FILE		ARCHIVAL_FILE
