data_ID	filenames	type	total_sequences	total_bases_raw	total_bases	poor_quality_sequences	sequence_length	pct_gc	Basic Statistics	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
BCL6B_TGCGGG20NGA_AC_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/BCL6B_TGCGGG20NGA_AC_4.fastq.gz	signal	41581	831.6 kbp	831600	0	20	49	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	FAIL	PASS
CTCF_full_AJ_TAGCGA20NGCT_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/CTCF_full_AJ_TAGCGA20NGCT_4.fastq.gz	signal	125032	2.5 Mbp	2500000	0	20	58	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	WARN	PASS	PASS
EGR1_TCTCTT20NGA_Y_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR1_TCTCTT20NGA_Y_2.fastq.gz	signal	69585	1.3 Mbp	1300000	0	20	51	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
EGR1_TACTAT20NATC_AA_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR1_TACTAT20NATC_AA_4.fastq.gz	signal	148750	2.9 Mbp	2900000	0	20	46	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
EGR2_TCGGCC20NGA_W_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR2_TCGGCC20NGA_W_3.fastq.gz	signal	163333	3.2 Mbp	3200000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
EGR2_TCATCA20NCTA_W_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR2_TCATCA20NCTA_W_2.fastq.gz	signal	97362	1.9 Mbp	1900000	0	20	48	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
EGR3_TTAAGA20NGAA_AF_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR3_TTAAGA20NGAA_AF_3.fastq.gz	signal	295844	5.9 Mbp	5900000	0	20	44	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
EGR4_TAGCGA40NGCT_AI_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR4_TAGCGA40NGCT_AI_4.fastq.gz	signal	234000	9.3 Mbp	9300000	0	40	53	PASS	PASS	NA	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	PASS
Egr3_TCATGC20NGTA_Z_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/Egr3_TCATGC20NGTA_Z_3.fastq.gz	signal	97999	1.9 Mbp	1900000	0	20	48	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
GLI2_TAAGTA40NTGA_AI_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GLI2_TAAGTA40NTGA_AI_3.fastq.gz	signal	366216	14.6 Mbp	14600000	0	40	53	PASS	PASS	NA	PASS	WARN	PASS	WARN	PASS	PASS	PASS	PASS
GLIS1_TTCGGT20NGA_R_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GLIS1_TTCGGT20NGA_R_4.fastq.gz	signal	75380	1.5 Mbp	1500000	0	20	56	PASS	PASS	NA	PASS	FAIL	FAIL	PASS	PASS	PASS	FAIL	PASS
GLIS2_TACTAT20NATC_Y_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GLIS2_TACTAT20NATC_Y_3.fastq.gz	signal	76150	1.5 Mbp	1500000	0	20	47	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
GLIS3_TCGCAT20NGA_O_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GLIS3_TCGCAT20NGA_O_4.fastq.gz	signal	7498	149.9 kbp	149900	0	20	63	PASS	PASS	NA	PASS	FAIL	FAIL	PASS	PASS	FAIL	FAIL	PASS
HIC2_TGAGCA20NGA_AC_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/HIC2_TGAGCA20NGA_AC_4.fastq.gz	signal	62415	1.2 Mbp	1200000	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
