JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29372566_346	2025-08-22T20:00:35	puhti	CANCELLED	3609	0:0	mariaosm	mariaosm		1	1		10485760K	5912K	01:00:00	3612	01:00:09
29372557_202	2025-08-22T19:59:41	puhti	COMPLETED	724	0:0	mariaosm	mariaosm		1	1	11:56.300	10485760K	5753K	01:00:00	724	
29372557_182	2025-08-22T19:59:41	puhti	COMPLETED	507	0:0	mariaosm	mariaosm		1	1	08:23.350	10485760K	6011K	01:00:00	507	
29372557_169	2025-08-22T19:59:41	puhti	COMPLETED	327	0:0	mariaosm	mariaosm		1	1	05:17.559	10485760K	5772K	01:00:00	327	
29372566_360	2025-08-22T20:00:35	puhti	COMPLETED	56	0:0	mariaosm	mariaosm		1	1		10485760K	6050K	01:00:00	56	
29372566_347	2025-08-22T20:00:35	puhti	COMPLETED	1518	0:0	mariaosm	mariaosm		1	1	24:52.270	10485760K	5715K	01:00:00	1518	
29372557_203	2025-08-22T19:59:41	puhti	COMPLETED	17	0:0	mariaosm	mariaosm		1	1		10485760K	3208K	01:00:00	17	
29372557_183	2025-08-22T19:59:41	puhti	COMPLETED	29	0:0	mariaosm	mariaosm		1	1		10485760K	3274K	01:00:00	29	
29372566_361	2025-08-22T20:00:35	puhti	CANCELLED	3608	0:0	mariaosm	mariaosm		1	1		10485760K	7189845K	01:00:00	3611	01:00:10
29372566_348	2025-08-22T20:00:35	puhti	COMPLETED	512	0:0	mariaosm	mariaosm		1	1	08:10.882	10485760K	5739K	01:00:00	512	
29372557_204	2025-08-22T19:59:41	puhti	COMPLETED	225	0:0	mariaosm	mariaosm		1	1	03:42.229	10485760K	5770K	01:00:00	225	
29372557_184	2025-08-22T19:59:41	puhti	COMPLETED	32	0:0	mariaosm	mariaosm		1	1		10485760K	5731K	01:00:00	32	
29372566_362	2025-08-22T20:00:35	puhti	CANCELLED	3608	0:0	mariaosm	mariaosm		1	1		10485760K	986956K	01:00:00	3611	01:00:10
29372566_349	2025-08-22T20:00:35	puhti	CANCELLED	3609	0:0	mariaosm	mariaosm		1	1		10485760K	5724K	01:00:00	3612	01:00:07
29372557_205	2025-08-22T19:59:41	puhti	COMPLETED	204	0:0	mariaosm	mariaosm		1	1	03:16.055	10485760K	5846K	01:00:00	204	
29372557_185	2025-08-22T19:59:41	puhti	COMPLETED	63	0:0	mariaosm	mariaosm		1	1		10485760K	5754K	01:00:00	63	
29372555_10	2025-08-22T19:58:42	puhti	COMPLETED	51	0:0	mariaosm	mariaosm		1	1		10485760K	5858K	01:00:00	51	
29372566_363	2025-08-22T20:00:35	puhti	COMPLETED	45	0:0	mariaosm	mariaosm		1	1		10485760K	5954K	01:00:00	45	
29372557_206	2025-08-22T19:59:41	puhti	COMPLETED	412	0:0	mariaosm	mariaosm		1	1	06:36.732	10485760K	5861K	01:00:00	412	
29372557_186	2025-08-22T19:59:41	puhti	COMPLETED	67	0:0	mariaosm	mariaosm		1	1	01:04.635	10485760K	5780K	01:00:00	67	
29372555_11	2025-08-22T19:58:42	puhti	COMPLETED	26	0:0	mariaosm	mariaosm		1	1		10485760K	3274K	01:00:00	26	
29372557_220	2025-08-22T19:59:41	puhti	CANCELLED	3608	0:0	mariaosm	mariaosm		1	1		10485760K	5797K	01:00:00	3611	01:00:09
