JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29907097_185	2025-09-30T13:15:20	puhti	COMPLETED	1309	0:0	mariaosm	mariaosm		1	1	21:02.557	52428800K	6051K	00:30:00	1309	
29907097_60	2025-09-30T13:15:20	puhti	COMPLETED	49	0:0	mariaosm	mariaosm		1	1		52428800K	6112K	00:30:00	49	
29907097_47	2025-09-30T13:15:20	puhti	COMPLETED	128	0:0	mariaosm	mariaosm		1	1	01:32.384	52428800K	6282K	00:30:00	128	
29907097_186	2025-09-30T13:15:20	puhti	COMPLETED	1224	0:0	mariaosm	mariaosm		1	1	19:55.345	52428800K	6398K	00:30:00	1224	
29907097_61	2025-09-30T13:15:20	puhti	COMPLETED	100	0:0	mariaosm	mariaosm		1	1	01:27.783	52428800K	6317K	00:30:00	100	
29907097_48	2025-09-30T13:15:20	puhti	COMPLETED	97	0:0	mariaosm	mariaosm		1	1	01:26.094	52428800K	6127K	00:30:00	97	
29907097_187	2025-09-30T13:15:20	puhti	COMPLETED	1209	0:0	mariaosm	mariaosm		1	1	19:34.953	52428800K	6255K	00:30:00	1209	
29907097_62	2025-09-30T13:15:20	puhti	COMPLETED	134	0:0	mariaosm	mariaosm		1	1	01:18.333	52428800K	6123K	00:30:00	134	
29907097_49	2025-09-30T13:15:20	puhti	COMPLETED	118	0:0	mariaosm	mariaosm		1	1	01:28.883	52428800K	6144K	00:30:00	118	
29907097_188	2025-09-30T13:15:20	puhti	COMPLETED	979	0:0	mariaosm	mariaosm		1	1	15:53.648	52428800K	6402K	00:30:00	979	
29907097_63	2025-09-30T13:15:20	puhti	COMPLETED	35	0:0	mariaosm	mariaosm		1	1		52428800K	6034K	00:30:00	35	
29910498_301	2025-09-30T15:48:16	puhti	FAILED	40	0:0	mariaosm	mariaosm		1	1		52428800K	5824K	00:30:00	40	
29907097_189	2025-09-30T13:15:20	puhti	COMPLETED	1225	0:0	mariaosm	mariaosm		1	1	20:03.781	52428800K	6088K	00:30:00	1225	
29907097_64	2025-09-30T13:15:20	puhti	COMPLETED	207	0:0	mariaosm	mariaosm		1	1	02:04.529	52428800K	6111K	00:30:00	207	
29910498_302	2025-09-30T15:48:16	puhti	FAILED	43	0:0	mariaosm	mariaosm		1	1		52428800K	5774K	00:30:00	43	
29907097_65	2025-09-30T13:15:20	puhti	COMPLETED	295	0:0	mariaosm	mariaosm		1	1	03:05.841	52428800K	6298K	00:30:00	295	
29910498_303	2025-09-30T15:48:16	puhti	FAILED	70	0:0	mariaosm	mariaosm		1	1	01:03.118	52428800K	5952K	00:30:00	70	
29907097_66	2025-09-30T13:15:20	puhti	COMPLETED	160	0:0	mariaosm	mariaosm		1	1	02:04.917	52428800K	6092K	00:30:00	160	
29910498_304	2025-09-30T15:48:16	puhti	FAILED	61	0:0	mariaosm	mariaosm		1	1		52428800K	6106K	00:30:00	61	
29907317_201	2025-09-30T13:19:42	puhti	COMPLETED	1357	0:0	mariaosm	mariaosm		1	1	21:43.444	52428800K	5864K	00:30:00	1357	
29907097_80	2025-09-30T13:15:20	puhti	COMPLETED	101	0:0	mariaosm	mariaosm		1	1	01:16.641	52428800K	6047K	00:30:00	101	
29907097_67	2025-09-30T13:15:20	puhti	COMPLETED	323	0:0	mariaosm	mariaosm		1	1	02:12.647	52428800K	6524K	00:30:00	323	
29910498_305	2025-09-30T15:48:16	puhti	FAILED	50	0:0	mariaosm	mariaosm		1	1		52428800K	5760K	00:30:00	50	
29907317_202	2025-09-30T13:19:42	puhti	COMPLETED	1389	0:0	mariaosm	mariaosm		1	1	22:29.284	52428800K	5946K	00:30:00	1389	
29907097_81	2025-09-30T13:15:20	puhti	COMPLETED	90	0:0	mariaosm	mariaosm		1	1	01:21.830	52428800K	6026K	00:30:00	90	
29907097_68	2025-09-30T13:15:20	puhti	COMPLETED	168	0:0	mariaosm	mariaosm		1	1	02:31.861	52428800K	6076K	00:30:00	168	
29910498_306	2025-09-30T15:48:16	puhti	FAILED	36	0:0	mariaosm	mariaosm		1	1		52428800K	5748K	00:30:00	36	
29907317_203	2025-09-30T13:19:42	puhti	COMPLETED	1142	0:0	mariaosm	mariaosm		1	1	18:35.920	52428800K	6291K	00:30:00	1142	
29907097_82	2025-09-30T13:15:20	puhti	COMPLETED	117	0:0	mariaosm	mariaosm		1	1	01:24.607	52428800K	6019K	00:30:00	117	
29907097_69	2025-09-30T13:15:20	puhti	COMPLETED	198	0:0	mariaosm	mariaosm		1	1	02:26.702	52428800K	6083K	00:30:00	198	
29910498_320	2025-09-30T15:48:16	puhti	FAILED	47	0:0	mariaosm	mariaosm		1	1		52428800K	6109K	00:30:00	47	
29910498_307	2025-09-30T15:48:16	puhti	FAILED	44	0:0	mariaosm	mariaosm		1	1		52428800K	5766K	00:30:00	44	
29907317_204	2025-09-30T13:19:42	puhti	COMPLETED	1068	0:0	mariaosm	mariaosm		1	1	17:28.412	52428800K	6041K	00:30:00	1068	
29907097_83	2025-09-30T13:15:20	puhti	COMPLETED	65	0:0	mariaosm	mariaosm		1	1		52428800K	6035K	00:30:00	65	
29910498_321	2025-09-30T15:48:16	puhti	FAILED	64	0:0	mariaosm	mariaosm		1	1		52428800K	6271K	00:30:00	64	
29910498_308	2025-09-30T15:48:16	puhti	FAILED	45	0:0	mariaosm	mariaosm		1	1		52428800K	5786K	00:30:00	45	
